feature,count,mean,std,min,25%,50%,75%,max,correlation_with_fail
token_rG_fraction,2646.0,0.20927611716192523,0.059600779121391376,0.016129032258064516,0.18867924528301888,0.2169811320754717,0.24528301886792453,0.37662337662337664,-0.023917582273234914
methyl_mean_position,2646.0,51.45054774385146,22.851142631184107,-1.0,51.5,51.5,65.25,108.3225806451613,0.023253592462120252
methyl_density_3p,2646.0,0.18014666494199172,0.2690634056508826,0.0,0.06976744186046512,0.08333333333333333,0.09302325581395349,0.9411764705882353,0.022036638615443742
slash_mod_span_fraction,2646.0,0.058201979969005745,0.22859865869160356,0.0,0.0,0.0,0.0,1.0,-0.021595395959106388
token_mA_count,2646.0,2.748677248677249,4.775879470285635,0.0,0.0,1.0,2.0,22.0,0.021251616159691556
token_rC_count,2646.0,18.61602418745276,8.45143762615291,0.0,14.0,17.0,23.0,50.0,-0.021181086049593685
longest_mC_run,2646.0,0.8424036281179138,0.6694190447235779,0.0,0.0,1.0,1.0,4.0,0.02086767494128578
modified_token_first_fraction,2646.0,-0.06538696625548977,0.24867990079566488,-1.0,0.0,0.0,0.0,0.9393939393939394,-0.020372783669227602
longest_rA_run,2646.0,4.469387755102041,2.248714853154789,0.0,3.0,5.0,5.0,30.0,-0.020254852579739968
rna_last_position,2646.0,103.83408919123205,24.402625948403077,9.0,99.0,105.0,121.0,192.0,-0.02024238603055693
rna_first_position,2646.0,5.574452003023431,3.5655796716996737,0.0,6.0,6.0,6.0,85.0,-0.019969470114477066
modified_token_last_fraction,2646.0,0.8633220941512001,0.49585494188000157,-1.0,0.9904761904761905,1.0,1.0,1.0,-0.019296137947271065
base_length,2646.0,105.46371882086167,21.62930534090224,35.0,100.0,100.0,122.0,193.0,-0.018614692174142914
rna_position_std,2646.0,28.242188929720665,6.974582343725766,0.816496580927726,27.13392710243027,27.250047242058717,33.70287369062088,53.98147830506312,-0.018293143794448963
modified_token_span_fraction,2646.0,0.9287090604066898,0.24998118149944742,0.0,0.9904761904761905,1.0,1.0,1.0,-0.018008489725325424
longest_homopolymer_run,2646.0,5.062358276643991,2.0975015188752155,2.0,4.0,5.0,5.0,30.0,-0.017645365032135783
star_density_5p,2646.0,0.0773861858138382,0.04874149427294572,0.0,0.06976744186046512,0.08571428571428572,0.08571428571428572,0.28,-0.01720606453537779
star_mean_position,2646.0,49.01582479213582,21.643735337947525,-1.0,52.5,52.5,61.82142857142857,117.10714285714286,0.01717656992187184
token_mA_fraction,2646.0,0.025482757009985275,0.04390240849200234,0.0,0.0,0.00709362579866177,0.018867924528301886,0.21666666666666667,0.01716728217510708
rna_first_fraction,2646.0,0.05159361144616346,0.043070029322128285,0.0,0.046511627906976744,0.05714285714285714,0.05714285714285714,0.971830985915493,-0.016884065244555362
token_mU_count,2646.0,4.267195767195767,3.3465323639528672,0.0,3.0,4.0,4.0,22.0,0.01657465755503937
methyl_position_std,2646.0,42.28206075305069,20.49788715499194,0.0,28.88336859577784,49.52692870213806,50.526395741895804,97.01374473066518,-0.016482407011184787
base_U_fraction,2646.0,0.2662622226004297,0.05018278273420498,0.0,0.25,0.27,0.2926829268292683,0.4166666666666667,-0.016415080518633895
base_T_fraction,2646.0,0.2662622226004297,0.05018278273420498,0.0,0.25,0.27,0.2926829268292683,0.4166666666666667,-0.016415080518633895
longest_modified_token_run,2646.0,9.602418745275887,10.239250336601211,0.0,6.0,6.0,7.0,60.0,0.01586185652268893
star_density,2646.0,0.05038513698060028,0.02690656733002512,0.0,0.046511627906976744,0.05660377358490566,0.05660377358490566,0.25735294117647056,0.015400035711655134
base_G_count,2646.0,26.482237339380198,7.815274297548177,3.0,23.0,25.0,31.0,55.0,-0.01485748319141545
star_position_std,2646.0,45.82253580109798,19.879039219907266,0.0,49.52692870213806,49.52692870213806,57.31509513897869,96.01388788434028,-0.014290788950875415
token_length,2646.0,111.35865457294028,22.035000829452695,37.0,106.0,106.0,128.0,199.0,-0.013915295686208431
decorated_length,2646.0,218.40778533635677,44.88561812443805,75.0,206.0,206.0,252.0,392.0,-0.013823003599916693
methyl_mean_fraction,2646.0,0.3371755689964049,0.5036874264300655,-1.0,0.49047619047619045,0.49047619047619045,0.5,0.9791666666666666,0.013586379517601702
star_first_fraction,2646.0,-0.11096215764132174,0.3380147380425692,-1.0,0.007751937984496124,0.009523809523809525,0.009523809523809525,0.9494949494949495,0.013420732137409436
methyl_first_fraction,2646.0,-0.1178407148369474,0.3337621350791546,-1.0,0.0,0.0,0.0,0.9583333333333334,0.013205341703754274
slash_mod_last_fraction,2646.0,-0.7600153170289838,0.6182473946353284,-1.0,-1.0,-1.0,-1.0,1.0,-0.013084290771524858
star_count_5p,2646.0,2.7679516250944824,1.3143849033024892,0.0,3.0,3.0,3.0,8.0,-0.013045289507068345
longest_mU_run,2646.0,1.0309901738473166,0.559995546074821,0.0,1.0,1.0,1.0,5.0,0.012694159772848022
slash_mod_first_position,2646.0,5.12509448223734,22.70768957578218,-1.0,-1.0,-1.0,-1.0,122.0,-0.012462381346914117
rna_last_fraction,2646.0,0.9395358098720104,0.10443989867833538,0.15254237288135594,0.9428571428571428,0.972972972972973,1.0,1.0,-0.012229574286943363
rna_count_5p,2646.0,30.014739229024944,8.191064917807598,0.0,28.0,29.0,36.0,60.0,-0.01125991332845629
slash_mod_count_3p,2646.0,0.22826908541194255,1.078423107081366,0.0,0.0,0.0,0.0,11.0,-0.011130639505264798
star_mean_fraction,2646.0,0.3127678513207331,0.4939191318422519,-1.0,0.5,0.5,0.5,0.9696969696969697,0.010604307460943173
token_mU_fraction,2646.0,0.03882817350850487,0.03249908312915902,0.0,0.027303860523038605,0.031007751937984496,0.039473684210526314,0.36666666666666664,0.010540454682725527
slash_mod_mean_fraction,2646.0,-0.7892057618413238,0.5413655081306619,-1.0,-1.0,-1.0,-1.0,1.0,-0.010446137573168916
token_rC_fraction,2646.0,0.16465299723523533,0.05935019686860404,0.0,0.14150943396226415,0.16037735849056603,0.20100671140939597,0.45652173913043476,-0.010281061222191301
methyl_count_5p,2646.0,3.63265306122449,2.8212626900989743,0.0,3.0,3.0,3.0,19.0,0.010269457384695492
repeated_dinucleotide_count,2646.0,9.059712773998488,11.33992004088773,0.0,6.0,7.0,10.0,118.0,-0.010176148066209091
star_density_middle,2646.0,0.003386427946440631,0.01548683140664743,0.0,0.0,0.0,0.0,0.13333333333333333,0.009872709455810792
modified_token_mean_fraction,2646.0,0.41866940924903623,0.3825129578727117,-1.0,0.49523809523809526,0.4957932692307692,0.5169527057245081,0.9646464646464646,-0.00985015978657196
base_C_fraction,2646.0,0.1966713140442179,0.04999555081106527,0.0,0.17,0.19,0.23076923076923078,0.45652173913043476,0.009592561752389215
longest_slash_mod_run,2646.0,0.245275888133031,0.909894351581724,0.0,0.0,0.0,0.0,9.0,-0.009590488213103765
slash_mod_count_middle,2646.0,0.0653817082388511,0.5532816565582221,0.0,0.0,0.0,0.0,12.0,0.009158564475467009
longest_methyl_run,2646.0,5.117157974300832,9.767228122152035,0.0,1.0,1.0,1.0,44.0,0.009149735620912565
