model,fold,rows,failures,average_precision,pr_auc,roc_auc,brier_score,f1_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp
balanced_random_forest,5,529,17,0.10917920061796722,0.10917920061796722,0.6960018382352942,0.09979325673217591,0.15789473684210525,0.11764705882352941,0.0,0.0,0.16666666666666666,0.1111111111111111,0.1320754716981132,494,18,14,3
elastic_net_logistic_with_char_ngrams,5,529,17,0.08127406974555887,0.08127406974555887,0.4952895220588235,0.19626644568695115,0.08547008547008547,0.058823529411764705,0.058823529411764705,0.0,0.16666666666666666,0.1111111111111111,0.07547169811320754,417,95,12,5
lightgbm_balanced,5,529,17,0.12122525377023097,0.12122525377023097,0.685891544117647,0.08156947908821999,0.18461538461538463,0.29411764705882354,0.0,0.0,0.16666666666666666,0.18518518518518517,0.11320754716981132,470,42,11,6
xgboost_weighted,5,529,17,0.12296702297378849,0.12296702297378849,0.6917509191176471,0.11247526109218597,0.14814814814814814,0.23529411764705882,0.058823529411764705,0.0,0.16666666666666666,0.14814814814814814,0.11320754716981132,454,58,11,6
balanced_random_forest,overall_oof,2646,86,0.08483465618595118,0.08483465618595118,0.6230128088662791,0.10947821142389264,0.20689655172413793,0.023255813953488372,0.0,0.0,0.1111111111111111,0.16541353383458646,0.09433962264150944,2464,96,65,21
elastic_net_logistic,overall_oof,2646,86,0.07398362024994413,0.07398362024994413,0.5906749636627907,0.18772455282540612,0.08951406649616368,0.10465116279069768,0.0,0.0,0.25925925925925924,0.11278195488721804,0.07924528301886792,1899,661,51,35
elastic_net_logistic_with_char_ngrams,overall_oof,2646,86,0.07619639332243358,0.07619639332243358,0.5832712572674419,0.19787312147932426,0.10014306151645208,0.08139534883720931,0.0,0.0,0.2222222222222222,0.12030075187969924,0.09056603773584905,1982,578,51,35
hist_gradient_boosting,overall_oof,2646,86,0.10871707982168374,0.10871707982168374,0.6303779069767442,0.031863244332794374,0.11650485436893204,0.06976744186046512,0.05813953488372093,0.011627906976744186,0.2222222222222222,0.12781954887218044,0.09056603773584905,2549,11,80,6
lightgbm_balanced,overall_oof,2646,86,0.10295791473994403,0.10295791473994403,0.6172420058139535,0.0871416816922925,0.1318051575931232,0.16279069767441862,0.03488372093023256,0.0,0.2962962962962963,0.14285714285714285,0.08679245283018867,2320,240,63,23
linear_svm_rbf_calibrated_probability,overall_oof,2646,86,0.028202465611556794,0.028202465611556794,0.4109874636627907,0.03160852355576132,0.0,0.0,0.0,0.0,0.0,0.03007518796992481,0.03773584905660377,2560,0,86,0
logistic_l1_balanced,overall_oof,2646,86,0.0702036662404786,0.0702036662404786,0.59248046875,0.18681911871005152,0.08395061728395062,0.09302325581395349,0.0,0.0,0.25925925925925924,0.11278195488721804,0.07547169811320754,1870,690,52,34
logistic_l2_balanced,overall_oof,2646,86,0.0767340529264467,0.0767340529264467,0.5930414244186046,0.18736039576673827,0.08673469387755102,0.10465116279069768,0.0,0.0,0.2962962962962963,0.11278195488721804,0.07169811320754717,1896,664,52,34
